report_number,crash_year,role,injury_severity,non_motorist_description_code,crash_date_time,latitude,longitude
89141692,2019,P,1.0,,2019-06-10T18:49:00Z,30.440602,-84.280596
89141692,2019,P,1.0,,2019-06-10T18:49:00Z,30.440602,-84.280596
89141692,2019,P,1.0,,2019-06-10T18:49:00Z,30.440602,-84.280596
89141693,2019,D,1.0,,2019-06-11T22:00:00Z,30.400954,-84.268904
89141693,2019,D,1.0,,2019-06-11T22:00:00Z,30.400954,-84.268904
89141694,2019,D,,,2019-06-11T22:27:00Z,30.467244,-84.227307
89141695,2019,D,2.0,,2019-06-11T22:55:00Z,30.441731,-84.326123
89141696,2019,P,1.0,,2019-06-11T21:25:00Z,30.428013,-84.216363
89141696,2019,D,1.0,,2019-06-11T21:25:00Z,30.428013,-84.216363
89141696,2019,D,1.0,,2019-06-11T21:25:00Z,30.428013,-84.216363
89141697,2019,D,1.0,,2019-06-12T06:50:00Z,30.473305,-84.24354
89141698,2019,D,1.0,,2019-06-10T09:15:00Z,,
89141698,2019,D,1.0,,2019-06-10T09:15:00Z,,
89141698,2019,P,1.0,,2019-06-10T09:15:00Z,,
89141699,2019,D,1.0,,2019-06-12T07:36:00Z,30.426744,-84.232411
89141700,2019,D,1.0,,2019-06-12T08:15:00Z,30.436559,-84.261901
89141700,2019,D,1.0,,2019-06-12T08:15:00Z,30.436559,-84.261901
89141700,2019,P,1.0,,2019-06-12T08:15:00Z,30.436559,-84.261901
89141701,2019,D,1.0,,2019-06-12T08:35:00Z,30.500007,-84.247667
89141701,2019,N,1.0,5.0,2019-06-12T08:35:00Z,30.500007,-84.247667
89141702,2019,D,1.0,,2019-06-11T13:35:00Z,30.449083,-84.31543
89141702,2019,D,1.0,,2019-06-11T13:35:00Z,30.449083,-84.31543
89141703,2019,D,1.0,,2019-06-12T08:57:00Z,30.432245,-84.249612
89141703,2019,D,1.0,,2019-06-12T08:57:00Z,30.432245,-84.249612
89141704,2019,D,1.0,,2019-06-12T07:50:00Z,30.487748,-84.255794
89141704,2019,D,1.0,,2019-06-12T07:50:00Z,30.487748,-84.255794
89141705,2019,P,2.0,,2019-06-12T07:50:00Z,30.43183,-84.248277
89141705,2019,D,2.0,,2019-06-12T07:50:00Z,30.43183,-84.248277
89141705,2019,D,4.0,,2019-06-12T07:50:00Z,30.43183,-84.248277
89141705,2019,D,2.0,,2019-06-12T07:50:00Z,30.43183,-84.248277
89141706,2019,D,1.0,,2019-06-12T10:45:00Z,30.509304,-84.246311
89141706,2019,D,1.0,,2019-06-12T10:45:00Z,30.509304,-84.246311
89141707,2019,D,1.0,,2019-06-12T11:08:00Z,30.454803,-84.330514
89141707,2019,D,1.0,,2019-06-12T11:08:00Z,30.454803,-84.330514
89141708,2019,D,,,2019-06-12T05:00:00Z,30.459098,-84.184909
89141709,2019,D,1.0,,2019-06-12T11:48:00Z,30.543121,-84.229737
89141709,2019,D,1.0,,2019-06-12T11:48:00Z,30.543121,-84.229737
89141710,2019,D,1.0,,2019-06-12T13:32:00Z,30.441517,-84.337195
89141710,2019,D,1.0,,2019-06-12T13:32:00Z,30.441517,-84.337195
89141711,2019,D,1.0,,2019-06-12T15:07:00Z,30.463538,-84.311702
89141711,2019,P,2.0,,2019-06-12T15:07:00Z,30.463538,-84.311702
89141711,2019,D,2.0,,2019-06-12T15:07:00Z,30.463538,-84.311702
89141712,2019,D,2.0,,2019-06-12T15:05:00Z,30.426975,-84.232492
89141712,2019,D,1.0,,2019-06-12T15:05:00Z,30.426975,-84.232492
89141713,2019,D,1.0,,2019-06-12T15:20:00Z,30.476785,-84.239498
89141713,2019,D,1.0,,2019-06-12T15:20:00Z,30.476785,-84.239498
89141713,2019,P,1.0,,2019-06-12T15:20:00Z,30.476785,-84.239498
89141713,2019,P,1.0,,2019-06-12T15:20:00Z,30.476785,-84.239498
89141714,2019,D,1.0,,2019-06-12T15:36:00Z,30.502492,-84.248429
89141714,2019,D,1.0,,2019-06-12T15:36:00Z,30.502492,-84.248429
89141714,2019,D,1.0,,2019-06-12T15:36:00Z,30.502492,-84.248429
89141715,2019,D,1.0,,2019-06-12T15:30:00Z,30.449598,-84.273193
89141715,2019,D,1.0,,2019-06-12T15:30:00Z,30.449598,-84.273193
89141716,2019,D,2.0,,2019-06-12T15:25:00Z,30.444678,-84.278241
89141716,2019,D,2.0,,2019-06-12T15:25:00Z,30.444678,-84.278241
89141716,2019,P,2.0,,2019-06-12T15:25:00Z,30.444678,-84.278241
89141717,2019,D,1.0,,2019-06-12T17:05:00Z,30.49776,-84.246649
89141717,2019,P,1.0,,2019-06-12T17:05:00Z,30.49776,-84.246649
89141717,2019,D,1.0,,2019-06-12T17:05:00Z,30.49776,-84.246649
89141718,2019,D,2.0,,2019-06-12T17:30:00Z,30.397514,-84.279753
89141718,2019,D,1.0,,2019-06-12T17:30:00Z,30.397514,-84.279753
89141719,2019,D,1.0,,2019-06-12T17:18:00Z,30.444771,-84.275144
89141719,2019,D,1.0,,2019-06-12T17:18:00Z,30.444771,-84.275144
89141720,2019,D,1.0,,2019-06-12T18:06:00Z,30.447215,-84.275667
89141720,2019,D,1.0,,2019-06-12T18:06:00Z,30.447215,-84.275667
89141720,2019,P,1.0,,2019-06-12T18:06:00Z,30.447215,-84.275667
89141721,2019,D,1.0,,2019-06-12T17:48:00Z,30.457262,-84.272319
89141721,2019,D,1.0,,2019-06-12T17:48:00Z,30.457262,-84.272319
89141722,2019,D,2.0,,2019-06-12T15:55:00Z,30.412548,-84.299946
89141722,2019,P,1.0,,2019-06-12T15:55:00Z,30.412548,-84.299946
89141722,2019,P,1.0,,2019-06-12T15:55:00Z,30.412548,-84.299946
89141722,2019,D,1.0,,2019-06-12T15:55:00Z,30.412548,-84.299946
89141722,2019,P,1.0,,2019-06-12T15:55:00Z,30.412548,-84.299946
89141723,2019,D,1.0,,2019-06-12T19:32:00Z,30.437862,-84.279478
89141723,2019,D,1.0,,2019-06-12T19:32:00Z,30.437862,-84.279478
89141724,2019,D,1.0,,2019-06-12T20:30:00Z,30.436959,-84.262352
89141724,2019,D,1.0,,2019-06-12T20:30:00Z,30.436959,-84.262352
89141724,2019,D,,,2019-06-12T20:30:00Z,30.436959,-84.262352
89141725,2019,D,1.0,,2019-06-12T15:41:00Z,30.483412,-84.310941
89141725,2019,D,1.0,,2019-06-12T15:41:00Z,30.483412,-84.310941
89141726,2019,P,1.0,,2019-06-12T17:20:00Z,30.457196,-84.26434
89141726,2019,P,1.0,,2019-06-12T17:20:00Z,30.457196,-84.26434
89141726,2019,D,1.0,,2019-06-12T17:20:00Z,30.457196,-84.26434
89141726,2019,D,1.0,,2019-06-12T17:20:00Z,30.457196,-84.26434
89141727,2019,D,1.0,,2019-06-12T19:12:00Z,30.457731,-84.290823
89141727,2019,D,1.0,,2019-06-12T19:12:00Z,30.457731,-84.290823
89141728,2019,P,1.0,,2019-06-04T17:55:00Z,30.456378,-84.296184
89141728,2019,D,1.0,,2019-06-04T17:55:00Z,30.456378,-84.296184
89141728,2019,D,1.0,,2019-06-04T17:55:00Z,30.456378,-84.296184
89141728,2019,P,1.0,,2019-06-04T17:55:00Z,30.456378,-84.296184
89141728,2019,P,1.0,,2019-06-04T17:55:00Z,30.456378,-84.296184
89141729,2019,D,,,2019-06-10T19:16:00Z,30.47041,-84.297571
89141730,2019,D,1.0,,2019-05-27T18:33:00Z,30.454722,-84.283122
89141730,2019,D,2.0,,2019-05-27T18:33:00Z,30.454722,-84.283122
89141730,2019,P,2.0,,2019-05-27T18:33:00Z,30.454722,-84.283122
89141731,2019,P,1.0,,2019-06-12T20:25:00Z,30.412679,-84.306966
89141731,2019,D,1.0,,2019-06-12T20:25:00Z,30.412679,-84.306966
89141731,2019,D,2.0,,2019-06-12T20:25:00Z,30.412679,-84.306966
89141731,2019,D,1.0,,2019-06-12T20:25:00Z,30.412679,-84.306966
89141732,2019,P,2.0,,2019-06-12T20:15:00Z,30.454729,-84.283078
89141732,2019,D,1.0,,2019-06-12T20:15:00Z,30.454729,-84.283078
89141732,2019,D,2.0,,2019-06-12T20:15:00Z,30.454729,-84.283078
89141733,2019,D,1.0,,2019-06-12T17:13:00Z,30.46362,-84.292098
89141733,2019,D,1.0,,2019-06-12T17:13:00Z,30.46362,-84.292098
89141734,2019,N,1.0,1.0,2019-06-13T01:11:00Z,30.475794,-84.334748
89141734,2019,D,1.0,,2019-06-13T01:11:00Z,30.475794,-84.334748
89141735,2019,D,1.0,,2019-06-13T00:30:00Z,30.450479,-84.25071
89141736,2019,P,1.0,,2019-06-13T07:24:00Z,30.46522,-84.344124
89141736,2019,P,1.0,,2019-06-13T07:24:00Z,30.46522,-84.344124
89141736,2019,D,1.0,,2019-06-13T07:24:00Z,30.46522,-84.344124
89141736,2019,D,1.0,,2019-06-13T07:24:00Z,30.46522,-84.344124
89141737,2019,D,,,2019-06-13T03:02:00Z,30.464258,-84.318189
89141737,2019,P,6.0,,2019-06-13T03:02:00Z,30.464258,-84.318189
89141738,2019,D,1.0,,2019-06-13T08:08:00Z,30.471121,-84.291778
89141738,2019,D,1.0,,2019-06-13T08:08:00Z,30.471121,-84.291778
89141739,2019,D,1.0,,2019-06-13T08:13:00Z,30.475718,-84.362633
89141739,2019,D,1.0,,2019-06-13T08:13:00Z,30.475718,-84.362633
89141740,2019,D,1.0,,2019-06-13T09:20:00Z,30.440525,-84.316916
89141740,2019,D,1.0,,2019-06-13T09:20:00Z,30.440525,-84.316916
89141741,2019,D,1.0,,2019-06-12T15:08:00Z,30.444723,-84.283082
