report_number,crash_year,role,person_number,home_zip,age,sex,injury_severity,vehicle_number,driver_distraction_code,driver_condition_code,driver_action_1,driver_action_2,driver_action_3,driver_action_4,non_motorist_description_code,location_code,action_prior_to_crash_code,action_code1,action_code2,crash_date_time,latitude,longitude
89141741,2019,P,4,34142,21,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-12T15:08:00Z,30.444723,-84.283082
89139981,2019,P,3,32246,54,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T12:40:00Z,30.444764,-84.285611
89139981,2019,P,4,32246,55,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T12:40:00Z,30.444764,-84.285611
89139981,2019,P,5,32246,19,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T12:40:00Z,30.444764,-84.285611
89139981,2019,P,6,32259,58,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T12:40:00Z,30.444764,-84.285611
89139981,2019,P,7,32259,18,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T12:40:00Z,30.444764,-84.285611
89139982,2019,P,3,32327,20,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-06T12:10:00Z,30.436609,-84.284333
88092914,2019,P,3,32408,46,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-22T16:14:00Z,30.43352,-84.52561
89140520,2019,P,4,32303,34,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-23T16:40:00Z,30.446905,-84.337986
89140520,2019,P,5,32303,9,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-23T16:40:00Z,30.446905,-84.337986
89140938,2019,P,3,32308,7,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-08T19:00:00Z,30.467558,-84.273078
89140938,2019,P,4,32308,10,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-08T19:00:00Z,30.467558,-84.273078
89140938,2019,P,5,32308,7,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-08T19:00:00Z,30.467558,-84.273078
89140942,2019,P,3,32317,22,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-09T07:35:00Z,30.493132,-84.244065
89140815,2019,P,3,33432,66,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T12:01:00Z,30.441675,-84.249517
89140816,2019,P,3,32352,26,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T13:16:00Z,30.478133,-84.299815
89140817,2019,P,3,32328,12,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T12:30:00Z,30.436643,-84.280591
89140817,2019,P,4,32328,64,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T12:30:00Z,30.436643,-84.280591
89140817,2019,P,5,32328,67,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T12:30:00Z,30.436643,-84.280591
89140936,2019,P,3,32303,12,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-08T18:05:00Z,30.486055,-84.344446
89140936,2019,P,4,32303,50,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-08T18:05:00Z,30.486055,-84.344446
89140936,2019,P,5,32304,14,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-08T18:05:00Z,30.486055,-84.344446
89140822,2019,P,2,32303,12,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T14:17:00Z,30.40466,-84.29128
89140823,2019,P,3,32303,46,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T14:14:00Z,30.497701,-84.253705
89140945,2019,P,4,32779,53,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-09T10:36:00Z,30.463526,-84.361336
89140948,2019,P,3,32334,24,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-09T10:21:00Z,30.456406,-84.345314
89140935,2019,P,3,77318,22,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-08T17:38:00Z,30.458513,-84.361687
89140820,2019,P,3,32305,49,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T12:54:00Z,30.412134,-84.280532
89140820,2019,P,4,32305,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T12:54:00Z,30.412134,-84.280532
89140820,2019,P,5,32305,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T12:54:00Z,30.412134,-84.280532
88060345,2019,P,2,33880,33,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-28T07:25:00Z,30.4902167047273,-84.2851807698077
88060345,2019,P,3,33880,33,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-28T07:25:00Z,30.4902167047273,-84.2851807698077
88060346,2019,P,3,32327,12,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-01T06:30:00Z,30.3271078177735,-84.3968387023921
88060346,2019,P,2,32327,14,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-01T06:30:00Z,30.3271078177735,-84.3968387023921
89140882,2019,P,3,32303,21,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T16:50:00Z,30.439102,-84.256
