report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,on_street_road_highway,street_address_number,latitude,longitude,feet_from_intersection,miles_from_intersection,direction_from_intersection,from_intersection_of,from_milepost_number,road_system_identifier,first_harmful_event,harmful_event_location,other1,tallahassee_democrat,wtxl
88109678,2019,2019-04-01 21:35,1,1,1,BUCK LAKE ROAD,,30.4641959008682,-84.155877982111,500,,E,ALAMEDA ROAD,,4,1,2,EC2,,
88092907,2019,2019-04-01 23:07,32,1,2,CAPITOLA ROAD,,30.45185,-84.08905,20,,E,LONG BRANCH LANE,,4,32,2,EC2,,
85567869,2019,2019-04-02 00:20,14,2,2,INTERSTATE 10 (STATE ROAD 8),,30.48144,-84.31368,,0.2,W,STATE ROAD 63 (MONROE STREET),,1,14,1,EC2,,
88092908,2019,2019-04-02 00:27,25,1,2,COUNTY ROAD 1583 (GEDDIE ROAD),,30.4627206659583,-84.4037044137572,,0.1,S,HOUSTON ROAD,,4,25,2,EC2,,
88592894,2019,2019-04-02 04:00,14,2,2,W. CALL STREET,1114,,,,,,,,9,14,8,EC2,,
89139853,2019,2019-04-02 04:45,15,2,1,S Meridian St,2207,30.419687,-84.276706,,,,,,9,15,2,EC2,,
89139831,2019,2019-04-02 07:10,14,2,3,Weems Rd,,30.451689,-84.223894,255,,E,EASTERWOOD DR,,5,14,1,EC2,,
89139833,2019,2019-04-02 07:45,14,2,2,W Call St,,30.44854,-84.31195,253,,E,W TENNESSEE ST,,5,14,1,EC2,,
89139832,2019,2019-04-02 07:50,14,2,3,S Bronough St,,30.441783,-84.284368,28,,S,W PARK AVE,,5,14,1,EC2,,
87193444,2019,2019-04-02 07:55,14,2,2,INTERSTATE 10 WB,,30.50174,-84.25136,,0.25,W,STATE ROAD 61,,1,14,1,EC2,,
88098348,2019,2019-04-02 08:35,14,4,6,INTERSTATE 10 203 EXIT RAMP E/B,,30.5011969677421,-84.2560947131406,,0.2,W,STATE ROAD 61 (THOMASVILLE ROAD),,1,14,1,EC2,,
87505297,2019,2019-04-02 08:45,15,2,8,BALKIN RD,1630,,,0,,,,,5,15,1,EC2,,
89139835,2019,2019-04-02 08:53,15,2,1,MICCOSUKEE RD (PARKING GARAGE),1300,,,,,,,,9,15,8,EC2,,
89139837,2019,2019-04-02 08:58,14,2,3,Apalachee Pkwy,,30.43804,-84.280508,,,,S MONROE ST,,5,14,1,EC2,,
89139836,2019,2019-04-02 09:13,14,2,4,Old Bainbridge Rd,,30.471172,-84.309556,13,,W,AUGUSTA DR,,5,14,1,EC2,,
